id,fund_manager,fund,fund_all_names,e_vote,s_vote,g_vote,e_support,s_support,g_support,fund_is_esg,sum_votes
84,2,SPDR Russell 1000 Momentum Focus ETF,"['SPDR Russell 1000 Core Momentum ETF', 'SPDR Russell 1000 Momentum Focus ETF']",178,422,449,7.292659676,12.63107722,14.06101049,0,1049
38,2,SPDR(R) Global Dow ETF,"['SPDR(R) DJ Global Titans ETF', 'SPDR(R) Global Dow ETF']",149,473,447,3.180542563,7.811038354,7.904583723,0,1069
397,1,Vanguard S&P 500 Growth Index Fund,['Vanguard S&P 500 Growth Index Fund'],159,433,525,2.327663384,7.341092211,8.191584602,0,1117
303,2,State Street Total Return V.I.S. Fund,"['Total Return Fund', 'State Street Total Return V.I.S. Fund']",220,411,528,1.682484901,2.329594478,13.71872304,0,1159
316,0,BLACKROCK EQUITY DIVIDEND FUND,['BLACKROCK EQUITY DIVIDEND FUND'],204,455,529,0.336700337,0.841750842,10.69023569,0,1188
207,2,SPDR MSCI ACWI Low Carbon Target ETF,['SPDR MSCI ACWI Low Carbon Target ETF'],176,518,575,4.531126872,9.14105595,12.05673759,0,1269
293,1,VANGUARD MORGAN GROWTH FUND,['VANGUARD MORGAN GROWTH FUND'],180,497,664,2.721849366,7.680835198,8.240119314,0,1341
139,2,State Street Equity 500 Index II Portfolio,['State Street Equity 500 Index II Portfolio'],241,558,585,5.563583815,11.81358382,11.92196532,0,1384
344,0,BLACKROCK TACTICAL OPPORTUNITIES FUND,"['BLACKROCK ASSET ALLOCATION', 'BLACKROCK MANAGED VOLATILITY PORTFOLIO', 'BLACKROCK TACTICAL OPPORTUNITIES FUND']",236,505,676,0.564573042,0.846859562,16.79604799,0,1417
323,2,SSgA IAM SHARES Fund,['SSgA IAM SHARES Fund'],228,509,687,13.83426966,29.70505618,43.11797753,0,1424
46,2,SPDR(R) Portfolio S&P 500 Growth ETF,"['SPDR(R) Dow Jones Large Cap Growth ETF', 'SPDR(R) S & P 500 Growth ETF', 'SPDR(R) Portfolio S&P 500 Growth ETF']",213,574,700,4.404841964,10.92804304,15.97175521,0,1487
196,2,SPDR MSCI World StrategicFactors ETF,"['SPDR MSCI World Quality Mix ETF', 'SPDR MSCI World StrategicFactors ETF']",360,596,608,5.115089514,9.047314578,9.590792839,0,1564
79,2,SPDR MSCI USA StrategicFactors ETF,"['SPDR MSCI USA Quality Mix ETF', 'SPDR MSCI USA StrategicFactors ETF']",303,688,671,7.34055355,12.03369434,12.244284,0,1662
191,2,SPDR(R) MSCI ACWI IMI ETF,['SPDR(R) MSCI ACWI IMI ETF'],312,673,698,4.486036839,7.367795603,9.685086156,0,1683
284,0,BlackRock Global Allocation V.I. Fund,['BlackRock Global Allocation V.I. Fund'],288,724,861,0.480512547,0.694073679,12.38654565,0,1873
331,0,"BLACKROCK GLOBAL ALLOCATION FUND, INC.","['BLACKROCK GLOBAL ALLOCATION FUND, INC.']",288,725,862,0.48,0.693333333,12.42666667,0,1875
269,0,BlackRock Global Allocation Portfolio,['BlackRock Global Allocation Portfolio'],325,786,1020,0.422336931,0.656968559,13.74941342,0,2131
404,1,Vanguard Tax-Managed Balanced Fund,['Vanguard Tax-Managed Balanced Fund'],343,773,1153,4.561480829,8.527985897,8.351696783,0,2269
47,2,SPDR(R) Portfolio S&P 500 Value ETF,"['SPDR(R) Dow Jones Large Cap Value ETF', 'SPDR(R) S & P 500 Value ETF', 'SPDR(R) Portfolio S&P 500 Value ETF']",407,834,1047,5.725524476,10.66433566,11.53846154,0,2288
72,2,SPDR S&P 1500 Momentum Tilt ETF,['SPDR S&P 1500 Momentum Tilt ETF'],397,857,1055,6.149848419,10.67561715,16.24079688,0,2309
71,2,SPDR S&P 1500 Value Tilt ETF,['SPDR S&P 1500 Value Tilt ETF'],403,859,1073,6.295503212,10.79229122,16.4882227,0,2335
45,2,SPDR(R) Portfolio Large Cap ETF,"['SPDR(R) Dow Jones Large Cap ETF', 'SPDR(R) Russell 1000 ETF', 'SPDR(R) Portfolio Large Cap ETF']",529,1047,1355,6.465370181,10.83248038,14.2954623,0,2931
36,2,SPDR(R) Portfolio Total Stock Market ETF,"['SPDR(R) Dow Jones Total Market ETF', 'SPDR(R) Russell 3000 ETF', 'SPDR(R) Portfolio Total Stock Market ETF']",524,975,1446,6.638370119,10.40747029,18.23429542,0,2945
391,1,Vanguard Institutional Index Fund,['Vanguard Institutional Index Fund'],450,1083,1498,3.381722204,7.720224348,8.116133289,0,3031
274,0,BlackRock S&P 500 Index V.I. Fund,['BlackRock S&P 500 Index V.I. Fund'],521,1189,1545,0.491551459,0.64516129,16.58986175,0,3255
395,1,VANGUARD BALANCED INDEX FUND,['VANGUARD BALANCED INDEX FUND'],506,1064,1791,3.80839036,7.854805118,12.58554002,0,3361
97,2,State Street Equity 500 Index Portfolio,['State Street Equity 500 Index Portfolio'],589,1341,1805,4.364123159,9.236947791,13.52074967,0,3735
